DT_REFER;CD_CVM;GRUPO_DFP;ORDEM_EXERC;DT_FIM_EXERC;CD_CONTA;DS_CONTA;VL_CONTA
2012-06-30;18660;DF Consolidado - Balanço Patrimonial Ativo;PENÚLTIMO;2011-12-31;1.02.03.01;Imobilizado em Operação;7226461000.0
2012-06-30;18660;DF Consolidado - Balanço Patrimonial Ativo;ÚLTIMO;2012-06-30;1.02.03.01;Imobilizado em Operação;8023737000.0
2012-06-30;18660;DF Consolidado - Balanço Patrimonial Ativo;PENÚLTIMO;2011-12-31;1.02.03.02;Imobilizado Arrendado;0.0
2012-06-30;18660;DF Consolidado - Balanço Patrimonial Ativo;ÚLTIMO;2012-06-30;1.02.03.02;Imobilizado Arrendado;0.0
2012-09-30;18660;DF Consolidado - Balanço Patrimonial Ativo;PENÚLTIMO;2011-12-31;1.01;Ativo Circulante;5363055000.0
2012-09-30;18660;DF Consolidado - Balanço Patrimonial Ativo;ÚLTIMO;2012-09-30;1.01;Ativo Circulante;5574492000.0
2012-09-30;18660;DF Consolidado - Balanço Patrimonial Ativo;PENÚLTIMO;2011-12-31;1.01.01;Caixa e Equivalentes de Caixa;2699837000.0
2012-09-30;18660;DF Consolidado - Balanço Patrimonial Ativo;ÚLTIMO;2012-09-30;1.01.01;Caixa e Equivalentes de Caixa;2664101000.0
2012-09-30;18660;DF Consolidado - Balanço Patrimonial Ativo;PENÚLTIMO;2011-12-31;1.01.03;Contas a Receber;1874280000.0
2012-09-30;18660;DF Consolidado - Balanço Patrimonial Ativo;ÚLTIMO;2012-09-30;1.01.03;Contas a Receber;2041997000.0
2012-09-30;18660;DF Consolidado - Balanço Patrimonial Ativo;PENÚLTIMO;2011-12-31;1.01.04;Estoques;44872000.0
2012-09-30;18660;DF Consolidado - Balanço Patrimonial Ativo;ÚLTIMO;2012-09-30;1.01.04;Estoques;54057000.0
2012-09-30;18660;DF Consolidado - Balanço Patrimonial Ativo;PENÚLTIMO;2011-12-31;1.02.03.01;Imobilizado em Operação;7226461000.0
2012-09-30;18660;DF Consolidado - Balanço Patrimonial Ativo;ÚLTIMO;2012-09-30;1.02.03.01;Imobilizado em Operação;8806990000.0
2012-09-30;18660;DF Consolidado - Balanço Patrimonial Ativo;PENÚLTIMO;2011-12-31;1.02.03.02;Imobilizado Arrendado;0.0
2012-09-30;18660;DF Consolidado - Balanço Patrimonial Ativo;ÚLTIMO;2012-09-30;1.02.03.02;Imobilizado Arrendado;0.0
2012-03-31;21237;DF Consolidado - Balanço Patrimonial Ativo;PENÚLTIMO;2011-12-31;1.01;Ativo Circulante;1708592000.0
2012-03-31;21237;DF Consolidado - Balanço Patrimonial Ativo;ÚLTIMO;2012-03-31;1.01;Ativo Circulante;1711946000.0
2012-03-31;21237;DF Consolidado - Balanço Patrimonial Ativo;PENÚLTIMO;2011-12-31;1.01.01;Caixa e Equivalentes de Caixa;1442415000.0
2012-03-31;21237;DF Consolidado - Balanço Patrimonial Ativo;ÚLTIMO;2012-03-31;1.01.01;Caixa e Equivalentes de Caixa;1308186000.0
2012-03-31;21237;DF Consolidado - Balanço Patrimonial Ativo;PENÚLTIMO;2011-12-31;1.01.03;Contas a Receber;21898000.0
2012-03-31;21237;DF Consolidado - Balanço Patrimonial Ativo;ÚLTIMO;2012-03-31;1.01.03;Contas a Receber;42759000.0
2012-03-31;21237;DF Consolidado - Balanço Patrimonial Ativo;PENÚLTIMO;2011-12-31;1.01.04;Estoques;85938000.0
2012-03-31;21237;DF Consolidado - Balanço Patrimonial Ativo;ÚLTIMO;2012-03-31;1.01.04;Estoques;128071000.0
2012-03-31;21237;DF Consolidado - Balanço Patrimonial Ativo;PENÚLTIMO;2011-12-31;1.02.03.01;Imobilizado em Operação;0.0
2012-03-31;21237;DF Consolidado - Balanço Patrimonial Ativo;ÚLTIMO;2012-03-31;1.02.03.01;Imobilizado em Operação;0.0
2012-03-31;21237;DF Consolidado - Balanço Patrimonial Ativo;PENÚLTIMO;2011-12-31;1.02.03.02;Imobilizado Arrendado;0.0
2012-03-31;21237;DF Consolidado - Balanço Patrimonial Ativo;ÚLTIMO;2012-03-31;1.02.03.02;Imobilizado Arrendado;0.0
2012-06-30;21237;DF Consolidado - Balanço Patrimonial Ativo;PENÚLTIMO;2011-12-31;1.01;Ativo Circulante;1708592000.0
2012-06-30;21237;DF Consolidado - Balanço Patrimonial Ativo;ÚLTIMO;2012-06-30;1.01;Ativo Circulante;1491115000.0
2012-06-30;21237;DF Consolidado - Balanço Patrimonial Ativo;PENÚLTIMO;2011-12-31;1.01.01;Caixa e Equivalentes de Caixa;1442415000.0
2012-06-30;21237;DF Consolidado - Balanço Patrimonial Ativo;ÚLTIMO;2012-06-30;1.01.01;Caixa e Equivalentes de Caixa;1012720000.0
2012-06-30;21237;DF Consolidado - Balanço Patrimonial Ativo;PENÚLTIMO;2011-12-31;1.01.03;Contas a Receber;21898000.0
2012-06-30;21237;DF Consolidado - Balanço Patrimonial Ativo;ÚLTIMO;2012-06-30;1.01.03;Contas a Receber;30726000.0
2012-06-30;21237;DF Consolidado - Balanço Patrimonial Ativo;PENÚLTIMO;2011-12-31;1.01.04;Estoques;85938000.0
2012-06-30;21237;DF Consolidado - Balanço Patrimonial Ativo;ÚLTIMO;2012-06-30;1.01.04;Estoques;131964000.0
2012-06-30;21237;DF Consolidado - Balanço Patrimonial Ativo;PENÚLTIMO;2011-12-31;1.02.03.01;Imobilizado em Operação;0.0
2012-06-30;21237;DF Consolidado - Balanço Patrimonial Ativo;ÚLTIMO;2012-06-30;1.02.03.01;Imobilizado em Operação;0.0
2012-06-30;21237;DF Consolidado - Balanço Patrimonial Ativo;PENÚLTIMO;2011-12-31;1.02.03.02;Imobilizado Arrendado;0.0
2012-06-30;21237;DF Consolidado - Balanço Patrimonial Ativo;ÚLTIMO;2012-06-30;1.02.03.02;Imobilizado Arrendado;0.0
2012-09-30;21237;DF Consolidado - Balanço Patrimonial Ativo;PENÚLTIMO;2011-12-31;1.01;Ativo Circulante;1708592000.0
2012-09-30;21237;DF Consolidado - Balanço Patrimonial Ativo;ÚLTIMO;2012-09-30;1.01;Ativo Circulante;1350828000.0
2012-09-30;21237;DF Consolidado - Balanço Patrimonial Ativo;PENÚLTIMO;2011-12-31;1.01.01;Caixa e Equivalentes de Caixa;1442415000.0
2012-09-30;21237;DF Consolidado - Balanço Patrimonial Ativo;ÚLTIMO;2012-09-30;1.01.01;Caixa e Equivalentes de Caixa;984785000.0
2012-09-30;21237;DF Consolidado - Balanço Patrimonial Ativo;PENÚLTIMO;2011-12-31;1.01.03;Contas a Receber;21898000.0
2012-09-30;21237;DF Consolidado - Balanço Patrimonial Ativo;ÚLTIMO;2012-09-30;1.01.03;Contas a Receber;89049000.0
2012-09-30;21237;DF Consolidado - Balanço Patrimonial Ativo;PENÚLTIMO;2011-12-31;1.01.04;Estoques;85938000.0
2012-09-30;21237;DF Consolidado - Balanço Patrimonial Ativo;ÚLTIMO;2012-09-30;1.01.04;Estoques;153511000.0
2012-09-30;21237;DF Consolidado - Balanço Patrimonial Ativo;PENÚLTIMO;2011-12-31;1.02.03.01;Imobilizado em Operação;0.0
2012-09-30;21237;DF Consolidado - Balanço Patrimonial Ativo;ÚLTIMO;2012-09-30;1.02.03.01;Imobilizado em Operação;0.0
2012-09-30;21237;DF Consolidado - Balanço Patrimonial Ativo;PENÚLTIMO;2011-12-31;1.02.03.02;Imobilizado Arrendado;0.0
2012-09-30;21237;DF Consolidado - Balanço Patrimonial Ativo;ÚLTIMO;2012-09-30;1.02.03.02;Imobilizado Arrendado;0.0
2012-03-31;20257;DF Consolidado - Balanço Patrimonial Ativo;PENÚLTIMO;2011-12-31;1.01;Ativo Circulante;1556749000.0
2012-03-31;20257;DF Consolidado - Balanço Patrimonial Ativo;ÚLTIMO;2012-03-31;1.01;Ativo Circulante;1754579000.0
2012-03-31;20257;DF Consolidado - Balanço Patrimonial Ativo;PENÚLTIMO;2011-12-31;1.01.01;Caixa e Equivalentes de Caixa;495406000.0
2012-03-31;20257;DF Consolidado - Balanço Patrimonial Ativo;ÚLTIMO;2012-03-31;1.01.01;Caixa e Equivalentes de Caixa;691090000.0
2012-03-31;20257;DF Consolidado - Balanço Patrimonial Ativo;PENÚLTIMO;2011-12-31;1.01.03;Contas a Receber;996845000.0
2012-03-31;20257;DF Consolidado - Balanço Patrimonial Ativo;ÚLTIMO;2012-03-31;1.01.03;Contas a Receber;1004641000.0
2012-03-31;20257;DF Consolidado - Balanço Patrimonial Ativo;PENÚLTIMO;2011-12-31;1.01.04;Estoques;3099000.0
2012-03-31;20257;DF Consolidado - Balanço Patrimonial Ativo;ÚLTIMO;2012-03-31;1.01.04;Estoques;3099000.0
