DT_REFER;CD_CVM;FCFE;FCFE_pred_arimax;VL_CONTA_1.01;VL_CONTA_1.01.01;VL_CONTA_1.02.03;VL_CONTA_2.01;VL_CONTA_2.01.04;VL_CONTA_2.02.01;VL_CONTA_PENULTIMO_1.01;VL_CONTA_PENULTIMO_1.01.01;VL_CONTA_PENULTIMO_1.02.03;VL_CONTA_PENULTIMO_2.01;VL_CONTA_PENULTIMO_2.01.04;VL_CONTA_PENULTIMO_2.02.01;VL_CONTA_3.11;VL_CONTA_7.04.01;VL_CONTA_1.01_pred_arimax;VL_CONTA_1.01.01_pred_arimax;VL_CONTA_1.02.03_pred_arimax;VL_CONTA_2.01_pred_arimax;VL_CONTA_2.01.04_pred_arimax;VL_CONTA_2.02.01_pred_arimax;VL_CONTA_PENULTIMO_1.01_pred_arimax;VL_CONTA_PENULTIMO_1.01.01_pred_arimax;VL_CONTA_PENULTIMO_1.02.03_pred_arimax;VL_CONTA_PENULTIMO_2.01_pred_arimax;VL_CONTA_PENULTIMO_2.01.04_pred_arimax;VL_CONTA_PENULTIMO_2.02.01_pred_arimax;VL_CONTA_3.11_pred_arimax;VL_CONTA_7.04.01_pred_arimax
2017-09-30;20257.0;211142000.0;211289839.2868676;894596000.0;21579710000.0;11528000.0;-7192958000.0;507105000.0;916536000.0;873482000.0;-313073000.0;765347000.0;766151000.0;855353000.0;893808000.0;97325000.0;-2573000.0;1176790117.2371478;13172279972.93824;8526187.640501203;-4284780187.2003145;798770849.9555933;916171549.1803606;873543071.807457;-313093515.12648726;488444971.0442834;766205141.5492499;855413501.8322074;895782773.8721185;97227513.1890131;-2572554.1422265326
2018-03-31;20257.0;186929000.0;187280433.6177396;523377000.0;22719769000.0;12783000.0;-8249738000.0;-135856000.0;1133091000.0;865401000.0;-357898000.0;842642000.0;336562000.0;347762000.0;1116102000.0;217277000.0;-1484000.0;806847476.8845346;13908822242.884758;9638345.75256228;-5202754441.6294365;170023696.605613;1132708817.676871;865462634.4569472;-357915572.09930253;539367736.447895;336646179.0528419;347858061.7093202;1118027954.3654451;217006199.71121365;-1484258.6273498312
2018-06-30;20257.0;-1426274000.0;-1427333705.0608785;467694000.0;23827821000.0;12726000.0;-8591435000.0;-116765000.0;1194634000.0;865401000.0;-357898000.0;921776000.0;336562000.0;347762000.0;1116102000.0;259251000.0;-3081000.0;749783844.3102608;14613945747.111847;9438634.712856386;-5406198511.787636;202812857.76130342;1194276270.5061202;865461509.1579667;-357921458.153672;590931592.6922638;336586104.0456578;347786941.9550946;1118161960.8418155;259069444.50377136;-3080241.4547700994
2018-09-30;20257.0;268176000.0;265888538.2444222;1070633000.0;25038025000.0;12690000.0;-8971547000.0;-114665000.0;1743892000.0;865401000.0;-357898000.0;1004507000.0;336562000.0;347762000.0;1116102000.0;267719000.0;-4741000.0;1349872357.7842863;15420411328.673386;9259687.337784039;-5647910976.460246;218736758.1324483;1743458170.7134833;865461509.1579667;-357921458.153672;644893460.6720184;336586104.0456578;347786941.9550946;1118258685.0867245;267704006.5759717;-4740220.10126032
2019-03-31;20257.0;541817000.0;543010974.3761786;660095000.0;25913931000.0;50448000.0;-9387103000.0;-131656000.0;1654556000.0;846275000.0;-393709000.0;1090776000.0;338589000.0;374263000.0;1384396000.0;159582000.0;-3386000.0;941551599.7690907;15893666274.365751;46871354.66798146;-5925052897.897102;215577929.76723668;1654172539.1689627;846336840.8290657;-393730106.9490649;701194528.3167181;338612962.31479466;374286085.39675653;1386496988.0437105;159876574.54485324;-3386321.799870543
2019-06-30;20257.0;-359233000.0;-362827917.37970567;1730713000.0;27008384000.0;43975000.0;-9711940000.0;-104280000.0;2718971000.0;846275000.0;-393709000.0;1180701000.0;338589000.0;374263000.0;1384396000.0;307424000.0;-6584000.0;2005688779.1659238;16582386779.448502;40266724.49997892;-6111535809.748739;256756110.06119394;2718405537.283953;846334177.4868678;-393734809.35827905;759952759.0126789;338613245.776521;374289798.5134326;1386661949.7422493;306717604.61441594;-6582481.009614767
2019-09-30;20257.0;-6390000.0;-2311780.532102883;1537794000.0;28089640000.0;46960000.0;-9815185000.0;136874000.0;2467252000.0;846275000.0;-393709000.0;1274223000.0;338589000.0;374263000.0;1384396000.0;357840000.0;-10374000.0;1818238310.8086617;17259057120.60783;43110575.49515013;-6076541948.030606;511592170.57120264;2466891898.046862;846334177.4868678;-393734809.35827905;821109188.9756099;338613245.776521;374289798.5134326;1386781914.2793367;357619310.0522732;-10372219.387817234
2020-03-31;20257.0;477447000.0;476343678.1335855;1635088000.0;29369010000.0;46085000.0;-10231797000.0;99852000.0;3618067000.0;2487034000.0;-332016000.0;1404563000.0;688285000.0;688985000.0;3112923000.0;364187000.0;-3446000.0;1914900864.603913;18133180881.231396;42095613.55481596;-6354737605.804716;488413227.507128;3617596879.096732;2486979561.8999257;-332045837.7357947;917881394.9147813;688284928.1241205;688989870.7801983;3114447681.0786257;364197883.6894193;-3447636.344522688
2020-06-30;20257.0;-2855727000.0;-2851715195.636515;2248241000.0;31772522000.0;45932000.0;-10483860000.0;207684000.0;4422396000.0;2487034000.0;-332016000.0;1505279000.0;688285000.0;688985000.0;3112923000.0;437848000.0;-7491000.0;2525796715.7176847;20126347580.19998;41801830.317764364;-6468536708.879933;609952270.6358982;4421980536.56193;2487208041.5967436;-332037736.7128786;983847992.816627;688333830.6558712;689033967.2107682;3115008077.1076393;437509356.4170792;-7489078.700403916
2020-09-30;20257.0;1899003000.0;1890373357.7223;1765232000.0;33126957000.0;44746000.0;-11145441000.0;-87746000.0;4487799000.0;2487034000.0;-332016000.0;1609592000.0;688285000.0;688985000.0;3112923000.0;631914000.0;-12102000.0;2047531855.8135877;21081966643.344765;40475358.23492741;-6991583303.038699;328495800.79282475;4487498833.641933;2487208041.5967436;-332037736.7128786;1052209590.7815222;688333830.6558712;689033967.2107682;3115278571.728153;630988906.8486816;-12099833.666814055
2021-03-31;20257.0;3294907000.0;3295282694.7997704;1025378000.0;33447713000.0;68382000.0;-11576412000.0;-224063000.0;4432206000.0;1278765000.0;481453000.0;1734739000.0;533427000.0;395722000.0;4315768000.0;555852000.0;-4687000.0;1308239770.4081836;21003772608.18223;63968568.973278865;-7284172281.268715;206035311.78689778;4431915377.078983;1279023168.80092;481377854.2211777;1140204842.0103896;533486658.55819464;395791512.09088176;4317710714.562672;556067068.7476032;-4688760.993387511
2021-06-30;20257.0;-2049222000.0;-2041761722.3914711;659420000.0;34234219000.0;72226000.0;-11751123000.0;110415000.0;4421902000.0;1278765000.0;481453000.0;1846246000.0;533427000.0;395722000.0;4315768000.0;697895000.0;-10495000.0;940645782.7740161;21383129407.86312;67677776.51035398;-7320612781.7814665;554115409.4281781;4421604232.8309;1278854914.3925676;481484672.3530653;1213370443.2841258;533465002.75354767;395750422.3306547;4318287138.797382;697217353.1173929;-10492241.308268463
2021-09-30;20257.0;487676000.0;485753664.4971114;927527000.0;35571361000.0;78478000.0;-12033380000.0;138892000.0;4570791000.0;1278765000.0;481453000.0;1961350000.0;533427000.0;395722000.0;4315768000.0;536889000.0;-16513000.0;1206008577.847251;22312575784.69489;73791048.07958572;-7464491326.968309;596459720.8355551;4570468393.417946;1278854914.3925676;481484672.3530653;1288932814.091192;533465002.75354767;395750422.3306547;4318661826.837225;537705040.5371345;-16510172.6321594
2022-03-31;20257.0;1234064000.0;1232149828.5049644;1733941000.0;37145481000.0;83185000.0;-12238372000.0;215139000.0;5161335000.0;1053787000.0;-29754000.0;2092724000.0;1108914000.0;904029000.0;4359561000.0;559923000.0;-6856000.0;2011244892.6298122;23479755587.0062;78359673.92488948;-7531153329.847657;686522580.5686731;5160977558.326785;1053892578.7604702;-29688763.874530435;1379565426.479199;1108911763.8441956;904021812.2933302;4362804635.507935;559892434.8743591;-6858293.447490653
2022-06-30;20257.0;753432000.0;752433430.0829151;2360069000.0;38624115000.0;88525000.0;-12792010000.0;183351000.0;6118460000.0;1053787000.0;-29754000.0;2215022000.0;1108914000.0;904029000.0;4359561000.0;564022000.0;-13946000.0;2638161736.773216;24553154388.792393;83560909.376424;-7946241107.989931;668623696.5417343;6118044730.916011;1053861250.0246651;-29755891.41933898;1459930144.943378;1108992241.6628997;904093032.3679792;4363190461.787196;564028209.5589049;-13942632.382166566
2022-09-30;20257.0;936566000.0;938732007.620532;2027434000.0;39434354000.0;121056000.0;-13495955000.0;-158254000.0;6275023000.0;1053787000.0;-29754000.0;2340917000.0;1108914000.0;904029000.0;4359561000.0;302454000.0;-19727000.0;2309676220.119246;24961129492.692417;115948436.20480609;-8511607476.1194515;341074260.4973336;6274732645.265975;1053861250.0246651;-29755891.41933898;1542692190.4721417;1108992241.6628997;904093032.3679792;4363568943.285392;303763157.1053673;-19724283.97914814
2023-03-31;20257.0;-819968000.0;-994821969.144285;1603018000.0;39998419000.0;208142000.0;-13739057000.0;-82903000.0;7057232000.0;2008272000.0;668596000.0;2587772000.0;713301000.0;583904000.0;6030988000.0;386772000.0;-5236000.0;1929780943.2693245;24900925249.35228;196362815.36632353;-8969475766.089176;120379668.54366678;6919347480.996875;1815291599.1426673;532992704.1330685;1718006214.2780466;793629117.8487624;648991012.3277866;4610560204.96273;351010616.1443061;-10486981.577198967
2023-06-30;20257.0;-1588311000.0;-1328352174.6977584;2005287000.0;41371142000.0;215178000.0;-14082008000.0;-96113000.0;7122115000.0;2008272000.0;668596000.0;2720861000.0;713301000.0;583904000.0;6030988000.0;220326000.0;-9024000.0;1549885666.419403;24355437582.528133;326405788.1509433;-9475995189.987242;-127012019.38519907;7610970183.534544;2665764764.5341945;1167265714.8426034;2080486278.127152;441614696.69237953;364324846.82959527;4592020562.894765;356362176.3975193;-10430911.870408352
