DT_REFER;CD_CVM;VL_CONTA_1.01;VL_CONTA_1.01.01;VL_CONTA_1.02.03;VL_CONTA_2.01;VL_CONTA_2.01.03;VL_CONTA_2.01.04;VL_CONTA_2.02.01;VL_CONTA_3.11;VL_CONTA_6.01;VL_CONTA_6.02;VL_CONTA_6.03;VL_CONTA_7.04.01;VL_CONTA_PENULTIMO_1.01;VL_CONTA_PENULTIMO_1.01.01;VL_CONTA_PENULTIMO_1.02.03;VL_CONTA_PENULTIMO_2.01;VL_CONTA_PENULTIMO_2.01.03;VL_CONTA_PENULTIMO_2.01.04;VL_CONTA_PENULTIMO_2.02.01;VL_CONTA_PENULTIMO_6.01;VL_CONTA_PENULTIMO_6.02;VL_CONTA_PENULTIMO_6.03;VL_CONTA_1.01_pred_glm;VL_CONTA_1.01.01_pred_glm;VL_CONTA_1.02.03_pred_glm;VL_CONTA_2.01_pred_glm;VL_CONTA_2.01.04_pred_glm;VL_CONTA_2.02.01_pred_glm;VL_CONTA_PENULTIMO_1.01_pred_glm;VL_CONTA_PENULTIMO_1.01.01_pred_glm;VL_CONTA_PENULTIMO_1.02.03_pred_glm;VL_CONTA_PENULTIMO_2.01_pred_glm;VL_CONTA_PENULTIMO_2.01.04_pred_glm;VL_CONTA_PENULTIMO_2.02.01_pred_glm;VL_CONTA_3.11_pred_glm;VL_CONTA_7.04.01_pred_glm
2016-03-31;20257.0;-173825000.0;-205048000.0;56000.0;-640722000.0;70386000.0;-680275000.0;244613000.0;253685000.0;-1411326000.0;-15285000.0;941148000.0;-1145000.0;295266000.0;30588000.0;-1370000.0;256657000.0;12497000.0;258748000.0;-431597000.0;-1474803000.0;-404591000.0;-9128000.0;576369782.1611177;46779040.147668086;3202395.8949187812;-690454862.879282;-621105925.3135707;411637851.08654106;-206330493.06402287;-41272093.19906342;-3276572.4880891517;310592849.00393313;207298279.2869087;374758827.696148;235308969.95824844;-3482468.149449713
2016-06-30;20257.0;-261381000.0;-327624000.0;-31000.0;635755000.0;14440000.0;764658000.0;-5505000.0;207207000.0;2669198000.0;-24018000.0;-557107000.0;-1785000.0;0.0;0.0;2740000.0;0.0;0.0;0.0;431597000.0;1299806000.0;-523830000.0;-418660000.0;-95332220.12494808;-2029784.1570497118;-9576197.1559283;766030410.4698989;624082567.1001704;11454461.872003168;97281466.68279935;109418202.98561263;-4803016.358011998;459871.7787374514;-185653.3045728095;-276628763.0919627;211981796.3133728;-2624711.467224867
2016-09-30;20257.0;253418000.0;242489000.0;348000.0;140087000.0;27673000.0;34360000.0;34201000.0;217556000.0;-1120499000.0;-291547000.0;-215085000.0;-2491000.0;0.0;0.0;-1370000.0;0.0;0.0;0.0;0.0;21890000.0;-85095000.0;-1000237000.0;-139622941.29902324;46779040.147668086;5949029.667216263;29893660.768452488;140564188.2670742;122727713.97888196;16101922.62359646;-13450449.135650173;13369283.998806428;459871.7787374514;-185653.3045728095;-118194544.9060621;174331325.68164533;-2815703.4183489457
2016-12-31;20257.0;211969000.0;106368500.0;241500.0;309556500.0;39387000.0;257967500.0;-403169000.0;209461500.0;-1315897000.0;-264582000.0;300793500.0;-1653000.0;-63667000.0;-15468000.0;-1328000.0;32971500.0;403000.0;22408000.0;-213452000.0;-683773000.0;-50190000.0;-529663000.0;-174319208.91082036;46280263.84090455;6151407.457006951;255288907.9947439;305879717.81841785;60182724.580020726;-445767482.73726374;-36235527.78755173;8965559.34085985;23982604.137321956;30743224.600300502;-233087473.6827477;198847559.35207748;-2666318.516583185
2017-03-31;20257.0;170520000.0;-29752000.0;135000.0;479026000.0;51101000.0;481575000.0;-840539000.0;201367000.0;-1511295000.0;-237617000.0;816672000.0;-815000.0;-127334000.0;-30936000.0;-1286000.0;65943000.0;806000.0;44816000.0;-426904000.0;-1389436000.0;-15285000.0;-59089000.0;-209015476.52261752;45781487.534141004;6353785.24679764;480684155.22103536;471195247.3697615;-2362264.818840489;-907636888.0981239;-59020606.439453274;4561834.682913274;47505336.49590646;61672102.50517381;-347980402.45943326;223363793.0225097;-2516933.6148174247
2017-06-30;20257.0;-72989000.0;-122051000.0;-937000.0;-500117000.0;86932000.0;-513680000.0;23002000.0;72034000.0;2589962000.0;-378994000.0;-378938000.0;-1624000.0;0.0;0.0;2572000.0;0.0;0.0;0.0;426904000.0;1279762000.0;-24018000.0;-616196000.0;514206385.93728036;-34678.929995551705;-9251591.554858167;-522527931.93258286;-483947380.3685116;266448069.32123253;60332648.45744987;60330221.05101634;-6210651.779687647;459871.7787374514;-185653.3045728095;246761219.0939865;190256556.82464382;-130078.65156199154
2017-09-30;20257.0;212191000.0;90060000.0;2702000.0;5355000.0;102257000.0;12627000.0;-8253000.0;97325000.0;-1204643000.0;-760842000.0;-81694000.0;-2573000.0;0.0;0.0;-1286000.0;0.0;0.0;0.0;0.0;159263000.0;-291547000.0;-831281000.0;50807030.258175485;45781487.534141004;6293741.839668751;7986904.921850778;9134686.631017948;152973902.5624984;-55107732.47929843;-211167.2519749133;6014792.670406778;459871.7787374514;-185653.3045728095;-54311198.302576505;191671159.03329176;-596826.8819107283
2017-12-31;20257.0;-79514000.0;91979000.0;1060000.0;-365204500.0;81710500.0;-329193500.0;104151000.0;157301000.0;-1266263000.0;-504663500.0;187863000.0;-2028500.0;-4040500.0;-22412500.0;236000.0;-214794500.0;26745500.0;-253795500.0;111147000.0;-604131000.0;-256835500.0;-422945000.0;-48244043.59561509;27706784.227138456;-4397889.010159758;-336566458.02221215;-352341803.0782284;234606482.59904224;-63722216.71997896;-24036817.813444693;3247897.6469819043;-223062647.85914534;-245767632.9079374;120119037.84333944;217018006.3028252;-1703690.6620457894
2018-03-31;20257.0;-371219000.0;93898000.0;-582000.0;-735764000.0;61164000.0;-671014000.0;216555000.0;217277000.0;-1327883000.0;-248485000.0;457420000.0;-1484000.0;-8081000.0;-44825000.0;1758000.0;-429589000.0;53491000.0;-507591000.0;222294000.0;-1367525000.0;-222124000.0;-14609000.0;-147295117.4494056;9632080.920135904;-15089519.859988267;-681119820.9662751;-713818292.7874749;316239062.63558614;-72336700.96065947;-47862468.374914475;481002.6235570237;-446585167.4970281;-491349612.511302;294549273.9892554;242364853.57235873;-2810554.4421808505
2018-06-30;20257.0;-55683000.0;-32007000.0;-1312000.0;715083000.0;73761000.0;662052000.0;61543000.0;259251000.0;2512631000.0;-154977000.0;-418598000.0;-3081000.0;0.0;0.0;-3516000.0;0.0;0.0;0.0;-222294000.0;1234828000.0;-344906000.0;-393547000.0;-72675943.64311333;72264134.29801466;-8934790.154783018;662604073.0845212;701466110.028243;-6353999.725546956;99196547.43878222;49095569.00950837;-3894093.738698289;459871.7787374514;-185653.3045728095;-421809489.2197825;243185777.6766379;-3585189.301247628
2018-09-30;20257.0;602939000.0;102152000.0;21000.0;-38415000.0;58260000.0;-16991000.0;549258000.0;267719000.0;-1234947000.0;-678592000.0;317589000.0;-4741000.0;0.0;0.0;1758000.0;0.0;0.0;0.0;0.0;31666000.0;-706538000.0;-475241000.0;260693637.7407214;9632080.920135904;6417888.037543825;-21867891.68536633;-33562440.158535995;162799895.45434958;199033155.5203002;-37012459.285030335;4943384.625712898;459871.7787374514;-185653.3045728095;18725836.387084257;272700636.7612205;-3741467.18723842
2018-12-31;20257.0;96200500.0;-116073000.0;18907500.0;-36929500.0;52125500.0;-18041000.0;229961000.0;213650500.0;-1167077500.0;-542470500.0;328476500.0;-4063500.0;-9563000.0;-17905500.0;849500.0;1013500.0;-17011000.0;13250500.0;134147000.0;-594205000.0;-477511500.0;-246531000.0;40909338.07264994;20421087.460485324;12179822.13634398;-22926286.460083663;-32113352.15657386;158786350.7674824;-22363003.412967324;-2350552.420392446;7065585.404119391;-21888727.888179656;35296109.62326482;-18760496.078720335;278590860.87236387;-2743626.979551469
