DT_REFER;CD_CVM;CD_CONTA;DT_FIM_EXERC_PENULTIMO_BP;DT_FIM_EXERC_PENULTIMO;VL_CONTA_PENULTIMO;VL_CONTA
2011-06-30;2453;2.03.04;2010-12-31;;2873253000.0;2806167000.0
2011-06-30;2453;3.01;;2010-06-30;3431572000.0;3820000000.0
2011-06-30;2453;3.02;;2010-06-30;-2408215000.0;-2443340000.0
2011-06-30;2453;3.03;;2010-06-30;1023357000.0;1376660000.0
2011-06-30;2453;3.04;;2010-06-30;-189296000.0;-338019000.0
2011-06-30;2453;3.05;;2010-06-30;834061000.0;1038641000.0
2011-06-30;2453;3.06;;2010-06-30;-226837000.0;-256435000.0
2011-06-30;2453;3.07;;2010-06-30;607224000.0;782206000.0
2011-06-30;2453;3.08;;2010-06-30;-200110000.0;-259149000.0
2011-06-30;2453;3.09;;2010-06-30;407114000.0;523057000.0
2011-06-30;2453;3.11;;2010-06-30;407114000.0;523057000.0
2011-06-30;2453;5.01;;2010-06-30;11165501000.0;11476133000.0
2011-06-30;2453;5.03;;2010-06-30;11165501000.0;11476133000.0
2011-06-30;2453;5.07;;2010-06-30;12190503000.0;12457047000.0
2011-06-30;2453;6.01;;2010-06-30;1523321000.0;1771361000.0
2011-06-30;2453;6.02;;2010-06-30;-2863575000.0;-1480708000.0
2011-06-30;2453;6.03;;2010-06-30;678681000.0;-233238000.0
2011-06-30;2453;6.05;;2010-06-30;-661573000.0;57415000.0
2011-06-30;2453;7.01;;2010-06-30;9390033000.0;10708664000.0
2011-06-30;2453;7.02;;2010-06-30;-3189835000.0;-3944033000.0
2011-06-30;2453;7.03;;2010-06-30;6200198000.0;6764631000.0
2011-06-30;2453;7.04.01;;2010-06-30;-437862000.0;-462186000.0
2011-06-30;2453;7.05;;2010-06-30;5762336000.0;6302445000.0
2011-06-30;2453;7.06;;2010-06-30;433390000.0;520558000.0
2011-06-30;2453;7.07;;2010-06-30;6195726000.0;6823003000.0
2011-06-30;2453;7.08;;2010-06-30;6195726000.0;6823003000.0
2011-06-30;20257;1.01;2010-12-31;;1081396000.0;1015506000.0
2011-06-30;20257;1.01.01;2010-12-31;;414578000.0;356012000.0
2011-06-30;20257;1.01.02;2010-12-31;;0.0;0.0
2011-06-30;20257;1.01.03;2010-12-31;;634773000.0;639443000.0
