DT_REFER;CD_CVM;CD_CONTA;VL_CONTA_PENULTIMO;VL_CONTA
2011-06-30;20257;6.02;-8062000.0;60419000.0
2011-06-30;20257;6.03;-81492000.0;-476175000.0
2011-06-30;20257;6.05;199991000.0;-58566000.0
2011-06-30;20257;7.01;355488000.0;349438000.0
2011-06-30;20257;7.02;-24122000.0;-18151000.0
2011-06-30;20257;7.03;331366000.0;331287000.0
2011-06-30;20257;7.04.01;-7308000.0;-746000.0
2011-06-30;20257;7.05;324058000.0;330541000.0
2011-06-30;20257;7.06;18466000.0;30930000.0
2011-06-30;20257;7.07;342524000.0;361471000.0
2011-06-30;20257;7.08;342524000.0;361471000.0
2011-09-30;2453;1.01;8085576000.0;9812604000.0
2011-09-30;2453;1.01.01;2979693000.0;3851624000.0
2011-09-30;2453;1.01.02;321858000.0;89341000.0
2011-09-30;2453;1.01.03;3288473000.0;3888041000.0
2011-09-30;2453;1.01.04;41080000.0;53114000.0
2011-09-30;2453;1.02.01;12438058000.0;12813832000.0
2011-09-30;2453;1.02.02;0.0;0.0
2011-09-30;2453;1.02.03;8228513000.0;8575189000.0
2011-09-30;2453;1.02.04;4803687000.0;5738685000.0
2011-09-30;2453;2.01;6403358000.0;8236371000.0
2011-09-30;2453;2.01.02;1121009000.0;1209759000.0
2011-09-30;2453;2.01.03;540568000.0;1331559000.0
2011-09-30;2453;2.01.04;2202566000.0;3867641000.0
2011-09-30;2453;2.01.05;2226686000.0;1561165000.0
2011-09-30;2453;2.02.01;11023924000.0;10199856000.0
2011-09-30;2453;2.02.02;4281512000.0;4862694000.0
2011-09-30;2453;2.02.03;0.0;0.0
2011-09-30;2453;2.02.04;370907000.0;522143000.0
2011-09-30;2453;2.03.01;3412073000.0;3412073000.0
2011-09-30;2453;2.03.02;3980974000.0;3980974000.0
2011-09-30;2453;2.03.04;2873253000.0;2806167000.0
2011-09-30;2453;3.01;3654528000.0;4047343000.0
2011-09-30;2453;3.02;-2495704000.0;-2459672000.0
2011-09-30;2453;3.03;1158824000.0;1587671000.0
2011-09-30;2453;3.04;-162739000.0;-325264000.0
2011-09-30;2453;3.05;996085000.0;1262407000.0
2011-09-30;2453;3.06;-167171000.0;-293753000.0
2011-09-30;2453;3.07;828914000.0;968654000.0
2011-09-30;2453;3.08;-169244000.0;-311407000.0
2011-09-30;2453;3.09;659670000.0;657247000.0
2011-09-30;2453;3.11;659670000.0;657247000.0
2011-09-30;2453;5.01;11165501000.0;11476133000.0
2011-09-30;2453;5.03;11165501000.0;11476133000.0
2011-09-30;2453;5.07;12879076000.0;13119246000.0
2011-09-30;2453;6.01;3076022000.0;3256294000.0
2011-09-30;2453;6.02;-3923179000.0;-1765368000.0
2011-09-30;2453;6.03;601033000.0;-618995000.0
2011-09-30;2453;6.05;-246124000.0;871931000.0
2011-09-30;2453;7.01;14833596000.0;16508403000.0
2011-09-30;2453;7.02;-5597173000.0;-6000571000.0
2011-09-30;2453;7.03;9236423000.0;10507832000.0
2011-09-30;2453;7.04.01;-683917000.0;-700562000.0
2011-09-30;2453;7.05;8552506000.0;9807270000.0
2011-09-30;2453;7.06;693099000.0;770928000.0
2011-09-30;2453;7.07;9245605000.0;10578198000.0
2011-09-30;2453;7.08;9245605000.0;10578198000.0
2011-09-30;20257;1.01;1081675000.0;1200952000.0
2011-09-30;20257;1.01.01;414578000.0;473778000.0
2011-09-30;20257;1.01.02;0.0;0.0
2011-09-30;20257;1.01.03;634822000.0;711161000.0
2011-09-30;20257;1.01.04;786000.0;786000.0
2011-09-30;20257;1.02.01;3477534000.0;3487406000.0
2011-09-30;20257;1.02.02;0.0;0.0
2011-09-30;20257;1.02.03;12741000.0;12949000.0
2011-09-30;20257;1.02.04;4159000.0;3953000.0
2011-09-30;20257;2.01;308495000.0;442348000.0
2011-09-30;20257;2.01.02;11578000.0;7542000.0
2011-09-30;20257;2.01.03;16468000.0;5302000.0
2011-09-30;20257;2.01.04;54017000.0;68669000.0
2011-09-30;20257;2.01.05;226432000.0;360835000.0
2011-09-30;20257;2.02.01;1487279000.0;1484714000.0
2011-09-30;20257;2.02.02;7509000.0;27186000.0
2011-09-30;20257;2.02.03;264013000.0;356672000.0
2011-09-30;20257;2.02.04;459000.0;499000.0
2011-09-30;20257;2.03.01;1312536000.0;1312536000.0
2011-09-30;20257;2.03.02;594507000.0;594507000.0
2011-09-30;20257;2.03.04;601311000.0;64297000.0
2011-09-30;20257;3.01;298297000.0;478061000.0
2011-09-30;20257;3.02;-15507000.0;-13751000.0
2011-09-30;20257;3.03;282790000.0;464310000.0
2011-09-30;20257;3.04;-10436000.0;-10777000.0
2011-09-30;20257;3.05;272354000.0;453533000.0
2011-09-30;20257;3.06;-24925000.0;-38904000.0
2011-09-30;20257;3.07;247429000.0;414629000.0
2011-09-30;20257;3.08;-75670000.0;-137708000.0
2011-09-30;20257;3.09;171759000.0;276921000.0
2011-09-30;20257;3.11;171759000.0;276921000.0
2011-09-30;20257;5.01;2207369000.0;2508354000.0
2011-09-30;20257;5.03;2207369000.0;2508354000.0
2011-09-30;20257;5.07;2520664000.0;2393841000.0
2011-09-30;20257;6.01;446271000.0;548787000.0
2011-09-30;20257;6.02;-14334000.0;59732000.0
2011-09-30;20257;6.03;-132256000.0;-549319000.0
2011-09-30;20257;6.05;299681000.0;59200000.0
2011-09-30;20257;7.01;671653000.0;853295000.0
2011-09-30;20257;7.02;-34594000.0;-29553000.0
2011-09-30;20257;7.03;637059000.0;823742000.0
2011-09-30;20257;7.04.01;-10996000.0;-1117000.0
2011-09-30;20257;7.05;626063000.0;822625000.0
2011-09-30;20257;7.06;35888000.0;43203000.0
2011-09-30;20257;7.07;661951000.0;865828000.0
2011-09-30;20257;7.08;661951000.0;865828000.0
2012-03-31;2453;1.01;8531649000.0;8462174000.0
2012-03-31;2453;1.01.01;2862490000.0;2234744000.0
2012-03-31;2453;1.01.02;358987000.0;812968000.0
2012-03-31;2453;1.01.03;2998686000.0;3069043000.0
2012-03-31;2453;1.01.04;54430000.0;61993000.0
2012-03-31;2453;1.02.01;14726385000.0;15657924000.0
2012-03-31;2453;1.02.02;176740000.0;196027000.0
2012-03-31;2453;1.02.03;8661791000.0;8692198000.0
2012-03-31;2453;1.02.04;5261181000.0;4844307000.0
2012-03-31;2453;2.01;12169346000.0;9399513000.0
2012-03-31;2453;2.01.02;1189848000.0;1088048000.0
2012-03-31;2453;2.01.03;645937000.0;953134000.0
2012-03-31;2453;2.01.04;7821060000.0;4788680000.0
2012-03-31;2453;2.01.05;2215467000.0;2309112000.0
2012-03-31;2453;2.02.01;7958009000.0;10632508000.0
2012-03-31;2453;2.02.02;3701980000.0;3665152000.0
2012-03-31;2453;2.02.03;1234024000.0;1182944000.0
2012-03-31;2453;2.02.04;549439000.0;598290000.0
2012-03-31;2453;2.03.01;3412073000.0;3412073000.0
2012-03-31;2453;2.03.02;3953850000.0;3953850000.0
2012-03-31;2453;2.03.04;3292871000.0;3292871000.0
